sessionID: 203
Game: GP2
gameID: P2
numPatches: 6
initialHerdSize: 10
numHH: 1
numYears: 1
numPhases: 2
hasChoosingShared?: true
hasChoosingPrivate?: false
hasForage?: false
maxPrivateSquares: 1
baseSquaresPerDay: 3
pS_base: 1
HpA_base: 1
dP_dHpA: 0.1
harvest_day: 60
dP_dfNeeds: 0.2
needsDays: 10
initialScore: 100
phaseLengthDays: 4
probDeathPoor: 0.6
probDeathOk: 0.2
probDeathGood: 0
grassR: 0.4
grassK: 200
grassE0: 5
showToggleButton: true
animalNeeds: 8
downThreshold: 0.6
upThreshold: 0.8
grassUndergroundFraction: 0.1
maxColorRain: 10
grass_1: 5
grass_2: 5
grass_3: 0
grass_4: 0
grass_5: 0
grass_6: 3
grass_7: 4
grass_8: 0
grass_9: 0
grass_10: 4
grass_11: 4
grass_12: 3
grass_13: 0
grass_14: 3
grass_15: 4
grass_16: 0
clim_1: 2
clim_2: 4
clim_3: 6
clim_4: 3
clim_5: 0
clim_6: 6
clim_7: 6
clim_8: 0
phase_1: P
phase_2: P
phase_3: P
phase_4: P
phase_5: P
phase_6: P
phase_7: P
phase_8: P

Choosing shared land at 10:29:25.654 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 4 at 10:35:36.533 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 5 at 10:35:38.708 AM 18-Oct-2021
Case 3.14 - Player 2 selecting patch 1 2 to move to at 10:35:42.359 AM 18-Oct-2021
Case 3.14 - Player 3 selecting patch 4 1 to move to at 10:35:43.860 AM 18-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:35:47.964 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 2 at 10:35:49.837 AM 18-Oct-2021
Case 3.15 - Player 2 clicked confirm at 10:35:50.899 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 3 at 10:35:50.930 AM 18-Oct-2021
Case 3.6 - Player 1 deactivating avatar at 10:35:52.414 AM 18-Oct-2021
Case 3.14 - Player 3 selecting patch 3 3 to move to at 10:35:53.764 AM 18-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:35:54.059 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 3 at 10:35:55.536 AM 18-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:35:56.863 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 4 at 10:35:56.879 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 3 at 10:35:58.767 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 4 at 10:36:00.075 AM 18-Oct-2021
Case 3.14 - Player 1 selecting patch 4 0 to move to at 10:36:05.355 AM 18-Oct-2021
Case 3.14 - Player 3 selecting patch 2 4 to move to at 10:36:06.212 AM 18-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:36:08.586 AM 18-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:36:09.426 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 4 at 10:36:11.142 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 4 at 10:36:11.231 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 5 at 10:36:12.434 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 5 at 10:36:13.176 AM 18-Oct-2021
Case 3.14 - Player 3 selecting patch 1 5 to move to at 10:36:16.360 AM 18-Oct-2021
Case 3.14 - Player 1 selecting patch 2 1 to move to at 10:36:18.741 AM 18-Oct-2021
Case 3.15 - Player 3 clicked confirm at 10:36:20.292 AM 18-Oct-2021
Case 3.15 - Player 1 clicked confirm at 10:36:27.522 AM 18-Oct-2021
Updating pastures at 10:36:27.549 AM 18-Oct-2021
Person 149 for Player 1 has schedule [2 2 2 2]
Person 160 for Player 2 has schedule [2 2 2 2]
Person 182 for Player 4 has schedule [2 2 2 2]
Person 171 for Player 3 has schedule [2 2 2 2]
Person 149 for Player 1 is at patch 4 0 and has schedule [2 2 2 2]
Person 182 for Player 4 is at patch 1 4 and has schedule [2 2 2 2]
